('acknowledges', 'no-tag')
('oranga', 'no-tag')
('require', 'no-tag')
('must', 'no-tag')
('accessed', 'no-tag')
('Waikato', 'no-tag')
('What', 'no-tag')
('sustainable', 'no-tag')
('MIHI', 'no-tag')
('–2025He', 'no-tag')
('being', 'no-tag')
('–2025Our', 'no-tag')
('Iwi', 'no-tag')
('interconnectedness', 'no-tag')
('therefore', 'no-tag')
('health/he-korowai-oranga', 'no-tag')
('realised', 'no-tag')
('individualsOVERALL', 'no-tag')
('resources', 'no-tag')
('Increase', 'no-tag')
('lower-quality', 'no-tag')
('Tēnei', 'no-tag')
('diabetes', 'no-tag')
('integration', 'no-tag')
('Expert', 'no-tag')
('monitor', 'no-tag')
('Updated', 'no-tag')
('aim', 'no-tag')
('COURTESY', 'no-tag')
('measures', 'no-tag')
('purposes', 'no-tag')
('His', 'no-tag')
('Karauna', 'no-tag')
('joined', 'no-tag')
('includes', 'no-tag')
('Whakapuakitanga', 'no-tag')
('assets', 'no-tag')
('AIM', 'no-tag')
('WL', 'no-tag')
('DNW', 'no-tag')
('–2025Name', 'no-tag')
('stereotypes', 'no-tag')
('Alliance', 'no-tag')
('focusing', 'no-tag')
('analysed', 'no-tag')
('AREA', 'no-tag')
('high-level', 'no-tag')
('Whakahaere', 'no-tag')
('broadly', 'no-tag')
('governmental', 'no-tag')
('Manager', 'no-tag')
('ethics', 'no-tag')
('Review', 'no-tag')
('HEALTH', 'no-tag')
('participate', 'no-tag')
('woven', 'no-tag')
('application', 'no-tag')
('health', 'no-tag')
('ai', 'no-tag')
('Ensuring', 'no-tag')
('dual', 'no-tag')
('planning', 'no-tag')
('Quantitative', 'no-tag')
('traditions', 'no-tag')
('discrimination', 'no-tag')
('–2025The', 'no-tag')
('J', 'no-tag')
('worn', 'no-tag')
('foster', 'no-tag')
('Research', 'no-tag')
('Māori-Crown', 'no-tag')
('specialising', 'no-tag')
('Whāia', 'no-tag')
('United', 'no-tag')
('mortality', 'no-tag')
('during', 'no-tag')
('differential', 'no-tag')
('achieved', 'no-tag')
('–2025NZQA', 'no-tag')
('whole-of-life', 'no-tag')
('WAI', 'no-tag')
('practice', 'no-tag')
('trust', 'no-tag')
('koutou', 'no-tag')
('Cross-sector', 'no-tag')
('Chart', 'no-tag')
('By', 'no-tag')
('Discovery', 'no-tag')
('Whakataukī', 'no-tag')
('Arawhiti', 'no-tag')
('clinical', 'no-tag')
('b', 'no-tag')
('inquiries', 'no-tag')
('Current', 'no-tag')
('–2025Monitoring', 'no-tag')
('oraPurpose', 'no-tag')
('progressively', 'no-tag')
('treated', 'no-tag')
('–2025WHAKAMAUA:', 'no-tag')
('indicates', 'no-tag')
('Tamariki', 'no-tag')
('legislative', 'no-tag')
('protection', 'no-tag')
('whakamarumaru', 'no-tag')
('employment', 'no-tag')
('understanding', 'no-tag')
('black', 'no-tag')
('Contents', 'no-tag')
('internally', 'no-tag')
('special', 'no-tag')
('recognise', 'no-tag')
('built', 'no-tag')
('Measures', 'no-tag')
('threads', 'no-tag')
('Violence', 'no-tag')
('forward', 'no-tag')
('providing', 'no-tag')
('accordance', 'no-tag')
('types', 'no-tag')
('›There', 'no-tag')
('‘fourth', 'no-tag')
('express', 'no-tag')
('characteristics', 'no-tag')
('kōtuitui', 'no-tag')
('appreciated', 'no-tag')
('discussions', 'no-tag')
('submissions', 'no-tag')
('improves', 'no-tag')
('OF', 'no-tag')
('developing', 'no-tag')
('Auahatanga', 'no-tag')
('Kahukura', 'no-tag')
('illnesses', 'no-tag')
('iterative', 'no-tag')
('content', 'no-tag')
('component', 'no-tag')
('without', 'no-tag')
('costs', 'no-tag')
('weeks', 'no-tag')
('Sexual', 'no-tag')
('Window', 'no-tag')
('Social', 'no-tag')
('framework.Design', 'no-tag')
('contributing', 'no-tag')
('structures', 'no-tag')
('domains', 'no-tag')
('NZQA', 'no-tag')
('Hamilton', 'no-tag')
('plans', 'no-tag')
('outcomes.’', 'no-tag')
('Council', 'no-tag')
('Group', 'no-tag')
('operates', 'no-tag')
('Complete', 'no-tag')
('general', 'no-tag')
('systems', 'no-tag')
('medium', 'no-tag')
('Hon', 'no-tag')
('available', 'no-tag')
('causes', 'no-tag')
('enjoy', 'no-tag')
('relates', 'no-tag')
('proposals', 'no-tag')
('while', 'no-tag')
('priorities', 'no-tag')
('published', 'no-tag')
('Brooker', 'no-tag')
('receiving', 'no-tag')
('accumulated', 'no-tag')
('[1989]', 'no-tag')
('challenging', 'no-tag')
('informed', 'no-tag')
('sake', 'no-tag')
('drawn', 'no-tag')
('provider', 'no-tag')
('cloak', 'no-tag')
('representative', 'no-tag')
('Lance', 'no-tag')
('services', 'no-tag')
('That', 'no-tag')
('in', 'no-tag')
('ana', 'no-tag')
('Rate', 'no-tag')
('Safety', 'no-tag')
('Before', 'no-tag')
('New', 'no-tag')
('mahi', 'no-tag')
('chief', 'no-tag')
('validate', 'no-tag')
('kitenga', 'no-tag')
('criteria', 'no-tag')
('HEALTHY', 'no-tag')
('ki', 'no-tag')
('Percentage', 'no-tag')
('reducible', 'no-tag')
('Kua', 'no-tag')
('Document', 'no-tag')
('Plan:', 'no-tag')
('KOROWAI', 'no-tag')
('maori-disability-action-plan', 'no-tag')
('strategic', 'no-tag')
('work', 'no-tag')
('recovery', 'no-tag')
('impact', 'no-tag')
('Qualifications', 'no-tag')
('July', 'no-tag')
('to:', 'no-tag')
('Matters:', 'no-tag')
('if', 'no-tag')
('led', 'no-tag')
('associations', 'no-tag')
('haere', 'no-tag')
('endured', 'no-tag')
('professionals', 'no-tag')
('cases.Design', 'no-tag')
('Expressing', 'no-tag')
('›Meaningful', 'no-tag')
('evidenced', 'no-tag')
('read', 'no-tag')
('ora', 'no-tag')
('strengthen', 'no-tag')
('remain', 'no-tag')
('strengthened', 'no-tag')
('Adopt', 'no-tag')
('PartnershipNgā', 'no-tag')
('whaikaha', 'no-tag')
('extensive', 'no-tag')
('›Implementation', 'no-tag')
('files/documents/publications/mhs-english.pdf', 'no-tag')
('seeks', 'no-tag')
('Ashley', 'no-tag')
('self', 'no-tag')
('mind', 'no-tag')
('expectancy', 'no-tag')
('workforceMāori', 'no-tag')
('government’s', 'no-tag')
('scale', 'no-tag')
('Matua', 'no-tag')
('Meihana', 'no-tag')
('policy', 'no-tag')
('flourish', 'no-tag')
('such', 'no-tag')
('exercise', 'no-tag')
('global', 'no-tag')
('input', 'no-tag')
('strive', 'no-tag')
('president', 'no-tag')
('mātauranga', 'no-tag')
('pillars', 'no-tag')
('overarching', 'no-tag')
('We', 'no-tag')
('Cancer', 'no-tag')
('decision', 'no-tag')
('spreading', 'no-tag')
('allocation', 'no-tag')
('DurieSeptember–December', 'no-tag')
('requirements', 'no-tag')
('tino', 'no-tag')
('non-Māori', 'no-tag')
('designed', 'no-tag')
('Dynamics', 'no-tag')
('graduating', 'no-tag')
('places', 'no-tag')
('enrolment', 'no-tag')
('–2025Addressing', 'no-tag')
('use', 'no-tag')
('major', 'no-tag')
('delivering', 'no-tag')
('beyond', 'no-tag')
('base', 'no-tag')
('Business', 'no-tag')
('maintaining', 'no-tag')
('justice', 'no-tag')
('Tihei', 'no-tag')
('Norman', 'no-tag')
('Kahukura.Require', 'no-tag')
('Under', 'no-tag')
('matching', 'no-tag')
('was', 'no-tag')
('bring', 'no-tag')
('Thompson-Evans', 'no-tag')
('elements', 'no-tag')
('Privilege', 'no-tag')
('accountability', 'no-tag')
('adequately', 'no-tag')
('Programme', 'no-tag')
('Māori', 'no-tag')
('main', 'no-tag')
('organisation', 'no-tag')
('One', 'no-tag')
('Geographical', 'no-tag')
('philosophy', 'no-tag')
('identity', 'no-tag')
('competent', 'no-tag')
('desired', 'no-tag')
('synergies', 'no-tag')
('strategy', 'no-tag')
('HP', 'no-tag')
('Affairs', 'no-tag')
('fishing', 'no-tag')
('fullest', 'no-tag')
('what', 'no-tag')
('Barack', 'no-tag')
('involve', 'no-tag')
('utilise', 'no-tag')
('achievement', 'no-tag')
('changes', 'no-tag')
('succeed', 'no-tag')
('review', 'no-tag')
('investing', 'no-tag')
('legitimate', 'no-tag')
('Courts', 'no-tag')
('conduit', 'no-tag')
('plan’s', 'no-tag')
('whether', 'no-tag')
('things', 'no-tag')
('when', 'no-tag')
('c', 'no-tag')
('–2025[Developing]', 'no-tag')
('The', 'no-tag')
('us', 'no-tag')
('chosen', 'no-tag')
('allows', 'no-tag')
('kounga', 'no-tag')
('›Increased', 'no-tag')
('lead', 'no-tag')
('edition', 'no-tag')
('findings', 'no-tag')
('system.”', 'no-tag')
('or', 'no-tag')
('aims', 'no-tag')
('councils', 'no-tag')
('enhancing', 'no-tag')
('non-PacificMāori', 'no-tag')
('commitments', 'no-tag')
('provided', 'no-tag')
('vision', 'no-tag')
('Philosophy', 'no-tag')
('Relationship', 'no-tag')
('Matters', 'no-tag')
('Tristram’s', 'no-tag')
('expert', 'no-tag')
('community', 'no-tag')
('condition', 'no-tag')
('red', 'no-tag')
('resourced', 'no-tag')
('gives', 'no-tag')
('They', 'no-tag')
('›Use', 'no-tag')
('racism', 'no-tag')
('Tino', 'no-tag')
('Mental', 'no-tag')
('https:', 'no-tag')
('hukahuka', 'no-tag')
('inaugural', 'no-tag')
('connected', 'no-tag')
('contributionsMAURI', 'no-tag')
('Mātauranga', 'no-tag')
('www.stats.govt.nz', 'no-tag')
('beauty', 'no-tag')
('properly', 'no-tag')
('›Māori', 'no-tag')
('excellence', 'no-tag')
('Sector', 'no-tag')
('appointed', 'no-tag')
('targeted', 'no-tag')
('release', 'no-tag')
('normsOBJECTIVE', 'no-tag')
('Wā', 'no-tag')
('enter', 'no-tag')
('progress', 'no-tag')
('tohu', 'no-tag')
('entering', 'no-tag')
('framed', 'no-tag')
('partners', 'no-tag')
('ability', 'no-tag')
('support', 'no-tag')
('Pursue', 'no-tag')
('committees', 'no-tag')
('central', 'no-tag')
('alludes', 'no-tag')
('chairs', 'no-tag')
('HENARE', 'no-tag')
('PartnershipTo', 'no-tag')
('goes', 'no-tag')
('PLAN', 'no-tag')
('deliveryWorking', 'no-tag')
('ASH', 'no-tag')
('Matariki', 'no-tag')
('up', 'no-tag')
('II', 'no-tag')
('post-graduate', 'no-tag')
('initiatives', 'no-tag')
('Kaiwhakahaere', 'no-tag')
('affecting', 'no-tag')
('–2025Āpitihanga', 'no-tag')
('Cram', 'no-tag')
('seen', 'no-tag')
('philosophies', 'no-tag')
('He', 'no-tag')
('mai', 'no-tag')
('throughout', 'no-tag')
('momo', 'no-tag')
('network', 'no-tag')
('routine', 'no-tag')
('economically', 'no-tag')
('Co-Founder', 'no-tag')
('populations', 'no-tag')
('cross-health', 'no-tag')
('–2025Objectives', 'no-tag')
('incorporate', 'no-tag')
('part', 'no-tag')
('invite', 'no-tag')
('›Whāia', 'no-tag')
('decisions', 'no-tag')
('attend', 'no-tag')
('needs', 'no-tag')
('Ministry’s', 'no-tag')
('culturally', 'no-tag')
('MH', 'no-tag')
('tatou', 'no-tag')
('Peace', 'no-tag')
('Enable', 'no-tag')
('ŌritetangaDeclaration', 'no-tag')
('accessibility', 'no-tag')
('recommends', 'no-tag')
('rima', 'no-tag')
('desa/indigenouspeoples/declaration-on-the-rights-of-indigenous-peoples.html', 'no-tag')
('Investing', 'no-tag')
('manager', 'no-tag')
('international', 'no-tag')
('literacy', 'no-tag')
('appropriate', 'no-tag')
('ma', 'no-tag')
('fairly', 'no-tag')
('document', 'no-tag')
('health.govt.nz', 'no-tag')
('Particularly', 'no-tag')
('scope', 'no-tag')
('›Frequent', 'no-tag')
('emotions', 'no-tag')
('tracking', 'no-tag')
('Every', 'no-tag')
('Meeting', 'no-tag')
('Ka', 'no-tag')
('inherent', 'no-tag')
('Article', 'no-tag')
('surveysThese', 'no-tag')
('evaluation', 'no-tag')
('III', 'no-tag')
('Manaaki', 'no-tag')
('district', 'no-tag')
('public', 'no-tag')
('update', 'no-tag')
('underpins', 'no-tag')
('›Form', 'no-tag')
('barriers', 'no-tag')
('force', 'no-tag')
('non-Māori/non-PacificOutpatient', 'no-tag')
('age', 'no-tag')
('tēnā', 'no-tag')
('Require', 'no-tag')
('tested', 'no-tag')
('environment', 'no-tag')
('unfair', 'no-tag')
('Tuarua:', 'no-tag')
('into', 'no-tag')
('Outcomes:', 'no-tag')
('plan', 'no-tag')
('accountability.”', 'no-tag')
('copy', 'no-tag')
('strengths', 'no-tag')
('Iwi/Māori', 'no-tag')
('Equity', 'no-tag')
('benefit', 'no-tag')
('online', 'no-tag')
('variation', 'no-tag')
('Doctor', 'no-tag')
('Sargent', 'no-tag')
('Advice', 'no-tag')
('Effective', 'no-tag')
('openly', 'no-tag')
('Crown', 'no-tag')
('trends', 'no-tag')
('realising', 'no-tag')
('contributes', 'no-tag')
('housing', 'no-tag')
('result', 'no-tag')
('www.health.govt.nz/publication/new-zealand', 'no-tag')
('continuous', 'no-tag')
('›Mostly', 'no-tag')
('Pae', 'no-tag')
('working', 'no-tag')
('ACTION', 'no-tag')
('Life', 'no-tag')
('received', 'no-tag')
('state', 'no-tag')
('participation', 'no-tag')
('Peoples', 'no-tag')
('Health’s', 'no-tag')
('unjust', 'no-tag')
('disadvantaging', 'no-tag')
('pae', 'no-tag')
('tae', 'no-tag')
('and', 'no-tag')
('transformation', 'no-tag')
('harenga', 'no-tag')
('kore', 'no-tag')
('whero', 'no-tag')
('alignment', 'no-tag')
('ViolenceReview', 'no-tag')
('had', 'no-tag')
('impacts', 'no-tag')
('able', 'no-tag')
('same', 'no-tag')
('resource', 'no-tag')
('Needs', 'no-tag')
('create', 'no-tag')
('efforts', 'no-tag')
('Office', 'no-tag')
('best', 'no-tag')
('HĒMI', 'no-tag')
('equally', 'no-tag')
('Youth', 'no-tag')
('collaboratively', 'no-tag')
('Suicide', 'no-tag')
('capability', 'no-tag')
('WHĀINGA', 'no-tag')
('prioritising', 'no-tag')
('own', 'no-tag')
('knowledge).Principles', 'no-tag')
('peoples', 'no-tag')
('help', 'no-tag')
('taku', 'no-tag')
('Raui', 'no-tag')
('stewardship', 'no-tag')
('integral', 'no-tag')
('specialist', 'no-tag')
('training', 'no-tag')
('cumulative', 'no-tag')
('Engagement', 'no-tag')
('Shifting', 'no-tag')
('completed', 'no-tag')
('Australian', 'no-tag')
('dimension', 'no-tag')
('members', 'no-tag')
('follows', 'no-tag')
('Organisations', 'no-tag')
('its', 'no-tag')
('protecting', 'no-tag')
('feedback', 'no-tag')
('Manawa', 'no-tag')
('associated', 'no-tag')
('tipuna', 'no-tag')
('More', 'no-tag')
('research', 'no-tag')
('Thompson', 'no-tag')
('stage', 'no-tag')
('difficult', 'no-tag')
('unity', 'no-tag')
('equipped', 'no-tag')
('comparator', 'no-tag')
('›', 'no-tag')
('Progress', 'no-tag')
('Stocktake', 'no-tag')
('sector', 'no-tag')
('Oranga.Ngā', 'no-tag')
('professional', 'no-tag')
('we', 'no-tag')
('meets', 'no-tag')
('Final', 'no-tag')
('enacted', 'no-tag')
('sectors', 'no-tag')
('five-year', 'no-tag')
('economic', 'no-tag')
('Whakatātaka:', 'no-tag')
('Challenges', 'no-tag')
('page', 'no-tag')
('Bloomfield', 'no-tag')
('prioritisation', 'no-tag')
('August', 'no-tag')
('PATHWAYSWAI', 'no-tag')
('Pescud', 'no-tag')
('does', 'no-tag')
('Co-Chair', 'no-tag')
('unique', 'no-tag')
('ownership', 'no-tag')
('narrow', 'no-tag')
('meta-analysis', 'no-tag')
('reach', 'no-tag')
('established', 'no-tag')
('identify', 'no-tag')
('where', 'no-tag')
('substantial', 'no-tag')
('showed', 'no-tag')
('university', 'no-tag')
('[1987]', 'no-tag')
('drinking', 'no-tag')
('under', 'no-tag')
('engagement', 'no-tag')
('DHB/Iwi/Māori', 'no-tag')
('commitment', 'no-tag')
('highly', 'no-tag')
('Most', 'no-tag')
('Waitangi.’', 'no-tag')
('disadvantaged', 'no-tag')
('Success', 'no-tag')
('platform', 'no-tag')
('spiritual', 'no-tag')
('captured', 'no-tag')
('OUTCOME', 'no-tag')
('DHB', 'no-tag')
('Funding', 'no-tag')
('rautaki', 'no-tag')
('inequity', 'no-tag')
('embedded', 'no-tag')
('marae', 'no-tag')
('monitoring', 'no-tag')
('encourage', 'no-tag')
('represents', 'no-tag')
('–2011Whakamaua:', 'no-tag')
('HEAT', 'no-tag')
('Treaty', 'no-tag')
('TO', 'no-tag')
('kua', 'no-tag')
('key', 'no-tag')
('health:', 'no-tag')
('compared', 'no-tag')
('inequities', 'no-tag')
('happier', 'no-tag')
('enabling', 'no-tag')
('F', 'no-tag')
('consultant', 'no-tag')
('Tangata', 'no-tag')
('just', 'no-tag')
('overall', 'no-tag')
('NUMA', 'no-tag')
('opportunity', 'no-tag')
('›Māori-Crown', 'no-tag')
('vital', 'no-tag')
('processes', 'no-tag')
('this', 'no-tag')
('Its', 'no-tag')
('successful', 'no-tag')
('Online', 'no-tag')
('Attorney-General', 'no-tag')
('effective', 'no-tag')
('report', 'no-tag')
('whole-of-government', 'no-tag')
('FEEDBACK“', 'no-tag')
('–2025Maxwell-Crawford', 'no-tag')
('increasingly', 'no-tag')
('goals', 'no-tag')
('–2025Te', 'no-tag')
('maha', 'no-tag')
('including', 'no-tag')
('September', 'no-tag')
('Whakataki', 'no-tag')
('expand', 'no-tag')
('services‘Rongoā', 'no-tag')
('another', 'no-tag')
('almost', 'no-tag')
('priority', 'no-tag')
('distant', 'no-tag')
('transparent', 'no-tag')
('February', 'no-tag')
('change', 'no-tag')
('monitoringLeadershipKnowledgeHEALTHY', 'no-tag')
('shaped', 'no-tag')
('scan', 'no-tag')
('bed', 'no-tag')
('Whakapapa', 'no-tag')
('response', 'no-tag')
('reflect', 'no-tag')
('advantage', 'no-tag')
('LINK', 'no-tag')
('Create', 'no-tag')
('serve', 'no-tag')
('element', 'no-tag')
('›Ministry', 'no-tag')
('means', 'no-tag')
('Board', 'no-tag')
('–2025Ministry', 'no-tag')
('covering', 'no-tag')
('huri', 'no-tag')
('resourcing', 'no-tag')
('multi-morbidity', 'no-tag')
('Rangatiratanga', 'no-tag')
('limited', 'no-tag')
('fair', 'no-tag')
('Kupu', 'no-tag')
('preamble', 'no-tag')
('N', 'no-tag')
('Taumata', 'no-tag')
('across', 'no-tag')
('excited', 'no-tag')
('TŌMUA', 'no-tag')
('decision-making', 'no-tag')
('contexts', 'no-tag')
('ngā', 'no-tag')
('committed', 'no-tag')
('advantages', 'no-tag')
('career', 'no-tag')
('ā', 'no-tag')
('Providing', 'no-tag')
('interventions', 'no-tag')
('companion', 'no-tag')
('grow', 'no-tag')
('closer', 'no-tag')
('rituals', 'no-tag')
('developmentTE', 'no-tag')
('–2025Citation:', 'no-tag')
('landscape', 'no-tag')
('oraTe', 'no-tag')
('refreshed', 'no-tag')
('mutunga', 'no-tag')
('Broughton', 'no-tag')
('performance', 'no-tag')
('accelerating', 'no-tag')
('likely', 'no-tag')
('series', 'no-tag')
('Guide', 'no-tag')
('guidelines', 'no-tag')
('speaks', 'no-tag')
('survey', 'no-tag')
('practices', 'no-tag')
('Henare', 'no-tag')
('acknowledged', 'no-tag')
('adult', 'no-tag')
('care', 'no-tag')
('June', 'no-tag')
('Business/Commerce', 'no-tag')
('NZ’s', 'no-tag')
('maximum', 'no-tag')
('Employment', 'no-tag')
('sciences', 'no-tag')
('lifting', 'no-tag')
('taking', 'no-tag')
('achieving', 'no-tag')
('Refreshed', 'no-tag')
('organizations', 'no-tag')
('Interim', 'no-tag')
('chart', 'no-tag')
('constant', 'no-tag')
('utilised', 'no-tag')
('ri', 'no-tag')
('compatible', 'no-tag')
('directed', 'no-tag')
('Voice', 'no-tag')
('[]', 'no-tag')
('–2025Ihirangi', 'no-tag')
('Thesis', 'no-tag')
('days', 'no-tag')
('›Follow', 'no-tag')
('original', 'no-tag')
('included', 'no-tag')
('wholeness', 'no-tag')
('centred', 'no-tag')
('Award', 'no-tag')
('Support', 'no-tag')
('relevance', 'no-tag')
('Deliver', 'no-tag')
('respect', 'no-tag')
('ensures', 'no-tag')
('to', 'no-tag')
('kaitiaki', 'no-tag')
('receive', 'no-tag')
('Mana', 'no-tag')
('Mate', 'no-tag')
('Ora', 'no-tag')
('ambassadors', 'no-tag')
('|', 'no-tag')
('www', 'no-tag')
('day-to-day', 'no-tag')
('hāpori', 'no-tag')
('curriculum', 'no-tag')
('individualsPae', 'no-tag')
('areas', 'no-tag')
('delivers', 'no-tag')
('earlier', 'no-tag')
('robust', 'no-tag')
('created', 'no-tag')
('tawhiti', 'no-tag')
('pango', 'no-tag')
('Tribal', 'no-tag')
('know', 'no-tag')
('Established', 'no-tag')
('agencies', 'no-tag')
('MāoriPRIORITY', 'no-tag')
('Wai', 'no-tag')
('rere', 'no-tag')
('Whakamutunga', 'no-tag')
('agenda', 'no-tag')
('whakataki', 'no-tag')
('themes', 'no-tag')
('PRIORITY', 'no-tag')
('pō', 'no-tag')
('Pūrongo', 'no-tag')
('tion-releases/te-kupenga-2013-english?gclid=CjwKCAiAg9rxBRADEiwAxKDTulDULh5uC-qEsx', 'no-tag')
('tal-health-and-addiction', 'no-tag')
('e).…', 'no-tag')
('that', 'no-tag')
('pp', 'no-tag')
('See', 'no-tag')
('yet', 'no-tag')
('enables', 'no-tag')
('times', 'no-tag')
('Internal', 'no-tag')
('Wellington:', 'no-tag')
('expresses', 'no-tag')
('workforce.Increase', 'no-tag')
('–2025DIRECTIONS', 'no-tag')
('Information', 'no-tag')
('moves', 'no-tag')
('–2025Whānau', 'no-tag')
('Commons', 'no-tag')
('implement', 'no-tag')
('drive', 'no-tag')
('annual', 'no-tag')
('defined', 'no-tag')
('region', 'no-tag')
('context', 'no-tag')
('rapa', 'no-tag')
('percentage', 'no-tag')
('–2025Ko', 'no-tag')
('acknowledging', 'no-tag')
('vocational', 'no-tag')
('various', 'no-tag')
('regulated', 'no-tag')
('–2025Challenges', 'no-tag')
('made.Whakamaua', 'no-tag')
('Response', 'no-tag')
('kaupapa', 'no-tag')
('rangatira', 'no-tag')
('contributors', 'no-tag')
('Design', 'no-tag')
('routinely', 'no-tag')
('ahiahi', 'no-tag')
('against', 'no-tag')
('DHB/iwi/Māori', 'no-tag')
('opportunities', 'no-tag')
('outcomes.”', 'no-tag')
('aspiring', 'no-tag')
('M', 'no-tag')
('hara', 'no-tag')
('parity', 'no-tag')
('efficiencies', 'no-tag')
('oraWhakamaua:', 'no-tag')
('arotūruki', 'no-tag')
('membership', 'no-tag')
('Advance', 'no-tag')
('interconnected', 'no-tag')
('ody5JQHzik4oNAxgsdlU_rvYT4b3S_WWqUE3d1xoCOHEQAvD_BwE', 'no-tag')
('Principles', 'no-tag')
('leading', 'no-tag')
('each', 'no-tag')
('living', 'no-tag')
('strengthening', 'no-tag')
('engage', 'no-tag')
('assessment', 'no-tag')
('Healthy', 'no-tag')
('Motuhake', 'no-tag')
('arising', 'no-tag')
('involved', 'no-tag')
('improve', 'no-tag')
('academia', 'no-tag')
('Vol', 'no-tag')
('name', 'no-tag')
('centre', 'no-tag')
('Ririnui', 'no-tag')
('kahurangi', 'no-tag')
('period', 'no-tag')
('mo', 'no-tag')
('bridges', 'no-tag')
('www.health.govt.nz/our-work/mental-health-and-addictions/government-inquiry-men', 'no-tag')
('Tapui', 'no-tag')
('external', 'no-tag')
('rāngai', 'no-tag')
('Develop', 'no-tag')
('rural', 'no-tag')
('Justice', 'no-tag')
('Forbes', 'no-tag')
('HE', 'no-tag')
('equitably', 'no-tag')
('independent', 'no-tag')
('issues', 'no-tag')
('Work', 'no-tag')
('development', 'no-tag')
('get', 'no-tag')
('regardless', 'no-tag')
('his', 'no-tag')
('attention', 'no-tag')
('Health', 'no-tag')
('validation', 'no-tag')
('Data', 'no-tag')
('A', 'no-tag')
('MāoriHe', 'no-tag')
('partnership', 'no-tag')
('whaimuri', 'no-tag')
('users', 'no-tag')
('mutually', 'no-tag')
('meeting', 'no-tag')
('operating', 'no-tag')
('tātou', 'no-tag')
('other', 'no-tag')
('Survey', 'no-tag')
('WHĀTUA', 'no-tag')
('character', 'no-tag')
('Commission', 'no-tag')
('Ben', 'no-tag')
('suite', 'no-tag')
('Prevention', 'no-tag')
('existed', 'no-tag')
('reporting', 'no-tag')
('patient', 'no-tag')
('journal', 'no-tag')
('system’s', 'no-tag')
('Comprehensive', 'no-tag')
('Kupenga', 'no-tag')
('next', 'no-tag')
('elevating', 'no-tag')
('System:', 'no-tag')
('empowered', 'no-tag')
('can', 'no-tag')
('these', 'no-tag')
('firm', 'no-tag')
('format', 'no-tag')
('marama', 'no-tag')
('longer-term', 'no-tag')
('Oranga', 'no-tag')
('determinants', 'no-tag')
('accountable', 'no-tag')
('disproportionately', 'no-tag')
('practice.PRIORITY', 'no-tag')
('significant', 'no-tag')
('iwi/Māori', 'no-tag')
('practice.Whakataukī', 'no-tag')
('fulfilling', 'no-tag')
('Ngai', 'no-tag')
('outreach', 'no-tag')
('wellbeing-oriented', 'no-tag')
('aligns', 'no-tag')
('hopeful', 'no-tag')
('skill', 'no-tag')
('parties', 'no-tag')
('›Enable', 'no-tag')
('like', 'no-tag')
('credit', 'no-tag')
('continues', 'no-tag')
('cherishing', 'no-tag')
('coming', 'no-tag')
('Being', 'no-tag')
('Trust', 'no-tag')
('Massey', 'no-tag')
('define', 'no-tag')
('Ezekiel’s', 'no-tag')
('Māori/Indigenous', 'no-tag')
('matters', 'no-tag')
('reira', 'no-tag')
('between', 'no-tag')
('solutions', 'no-tag')
('whakamaua', 'no-tag')
('contribute', 'no-tag')
('vitality', 'no-tag')
('baselines', 'no-tag')
('ISSN', 'no-tag')
('according', 'no-tag')
('range', 'no-tag')
('supporting', 'no-tag')
('CEO', 'no-tag')
('early', 'no-tag')
('iwi', 'no-tag')
('Surgery', 'no-tag')
('bow', 'no-tag')
('combination', 'no-tag')
('inequitable', 'no-tag')
('directly', 'no-tag')
('City', 'no-tag')
('goal', 'no-tag')
('Good', 'no-tag')
('Trends', 'no-tag')
('multiple', 'no-tag')
('co-designers', 'no-tag')
('kei', 'no-tag')
('also', 'no-tag')
('mechanisms', 'no-tag')
('uptake', 'no-tag')
('ethnic', 'no-tag')
('distributed', 'no-tag')
('Chair)Hingatu', 'no-tag')
('Expand', 'no-tag')
('honouring', 'no-tag')
('rates', 'no-tag')
('form', 'no-tag')
('emerging', 'no-tag')
('degree', 'no-tag')
('achieve', 'no-tag')
('ensure', 'no-tag')
('Act', 'no-tag')
('Māori.Whakataukī', 'no-tag')
('foreword', 'no-tag')
('healthier', 'no-tag')
('Care', 'no-tag')
('Services', 'no-tag')
('from', 'no-tag')
('graduated', 'no-tag')
('arrangements.Whakataukī', 'no-tag')
('Since', 'no-tag')
('Department', 'no-tag')
('Attribution', 'no-tag')
('self-management', 'no-tag')
('visibility', 'no-tag')
('Whakatātaka', 'no-tag')
('think', 'no-tag')
('Also', 'no-tag')
('inequitably', 'no-tag')
('generations', 'no-tag')
('govern', 'no-tag')
('reflects', 'no-tag')
('Several', 'no-tag')
('prioritised', 'no-tag')
('Kounga', 'no-tag')
('policies', 'no-tag')
('Ministry', 'no-tag')
('whakatutukinga', 'no-tag')
('emphasises', 'no-tag')
('could', 'no-tag')
('pathways', 'no-tag')
('everyone', 'no-tag')
('framing', 'no-tag')
('challenges', 'no-tag')
('hold', 'no-tag')
('haepapa', 'no-tag')
('sensitive', 'no-tag')
('whakawhanaketanga', 'no-tag')
('Highlights', 'no-tag')
('Director-General', 'no-tag')
('Collect', 'no-tag')
('notable', 'no-tag')
('develop', 'no-tag')
('aimed', 'no-tag')
('Pitama', 'no-tag')
('national', 'no-tag')
('premature', 'no-tag')
('sustained', 'no-tag')
('Vocational', 'no-tag')
('Tuatoru', 'no-tag')
('grasp', 'no-tag')
('behavioural', 'no-tag')
